transaction_id,date,product_id,quantity_sold,unit_price,total_amount,staff_id,customer_type
T00418,2026-04-14,P013,2,2.1,4.2,STF004,Walk-in
T00419,2026-04-14,P044,1,2.9,2.9,STF005,Prescription
T00420,2026-04-14,P028,2,1.8,3.6,STF002,Walk-in
T00421,2026-04-14,P012,2,2.9,5.8,STF005,Insurance
T00422,2026-04-14,P013,2,2.1,4.2,STF001,Insurance
T00423,2026-04-15,P010,1,6.0,6.0,STF001,Walk-in
T00424,2026-04-15,P018,2,4.9,9.8,STF004,Prescription
T00425,2026-04-15,P001,2,12.0,24.0,STF003,Insurance
T00426,2026-04-15,P049,1,6.8,6.8,STF001,Prescription
T00427,2026-04-15,P038,1,2.0,2.0,STF002,Walk-in
T00428,2026-04-15,P022,1,3.9,3.9,STF003,Walk-in
T00429,2026-04-15,P029,2,3.5,7.0,STF004,Walk-in
T00430,2026-04-15,P043,1,2.1,2.1,STF001,Insurance
T00431,2026-04-15,P011,1,3.2,3.2,STF002,Prescription
T00432,2026-04-15,P031,1,1.6,1.6,STF002,Prescription
T00433,2026-04-15,P041,1,6.5,6.5,STF001,Walk-in
T00434,2026-04-15,P014,2,4.2,8.4,STF002,Prescription
T00435,2026-04-15,P005,2,2.8,5.6,STF003,Prescription
T00436,2026-04-15,P005,1,2.8,2.8,STF004,Prescription
T00437,2026-04-15,P019,1,7.8,7.8,STF004,Insurance
T00438,2026-04-15,P014,1,4.2,4.2,STF005,Walk-in
T00439,2026-04-15,P020,1,8.2,8.2,STF003,Prescription
T00440,2026-04-15,P008,1,7.2,7.2,STF001,Walk-in
T00441,2026-04-15,P016,1,3.6,3.6,STF003,Prescription
T00442,2026-04-16,P015,1,3.0,3.0,STF004,Prescription
T00443,2026-04-16,P007,3,6.5,19.5,STF002,Walk-in
T00444,2026-04-16,P050,1,24.0,24.0,STF004,Insurance
T00445,2026-04-16,P009,1,4.8,4.8,STF001,Walk-in
T00446,2026-04-16,P040,2,4.0,8.0,STF004,Prescription
T00447,2026-04-16,P026,1,2.2,2.2,STF002,Prescription
T00448,2026-04-16,P043,1,2.1,2.1,STF004,Walk-in
T00449,2026-04-16,P015,1,3.0,3.0,STF005,Prescription
T00450,2026-04-16,P028,1,1.8,1.8,STF004,Prescription
T00451,2026-04-16,P027,1,3.2,3.2,STF003,Insurance
T00452,2026-04-16,P036,2,3.4,6.8,STF004,Prescription
T00453,2026-04-16,P039,2,2.3,4.6,STF003,Walk-in
T00454,2026-04-16,P010,1,6.0,6.0,STF003,Prescription
T00455,2026-04-16,P026,1,2.2,2.2,STF001,Walk-in
T00456,2026-04-16,P017,2,2.6,5.2,STF003,Prescription
T00457,2026-04-16,P037,2,0.45,0.9,STF003,Prescription
T00458,2026-04-17,P042,1,2.4,2.4,STF003,Walk-in
T00459,2026-04-17,P025,1,2.5,2.5,STF001,Insurance
T00460,2026-04-17,P001,2,12.0,24.0,STF001,Prescription
T00461,2026-04-17,P032,1,2.1,2.1,STF003,Prescription
T00462,2026-04-17,P036,1,3.4,3.4,STF002,Walk-in
T00463,2026-04-17,P029,1,3.5,3.5,STF002,Walk-in
T00464,2026-04-17,P037,4,0.45,1.8,STF005,Walk-in
T00465,2026-04-17,P017,2,2.6,5.2,STF001,Insurance
T00466,2026-04-17,P018,2,4.9,9.8,STF003,Walk-in
T00467,2026-04-17,P030,1,1.7,1.7,STF005,Prescription
T00468,2026-04-17,P006,1,5.5,5.5,STF001,Prescription
T00469,2026-04-17,P045,1,7.8,7.8,STF003,Walk-in
T00470,2026-04-17,P006,1,5.5,5.5,STF004,Prescription
T00471,2026-04-17,P045,1,7.8,7.8,STF001,Walk-in
T00472,2026-04-17,P007,1,6.5,6.5,STF004,Insurance
T00473,2026-04-17,P019,1,7.8,7.8,STF005,Prescription
T00474,2026-04-17,P002,2,5.0,10.0,STF003,Prescription
T00475,2026-04-17,P038,1,2.0,2.0,STF003,Walk-in
T00476,2026-04-18,P003,1,3.2,3.2,STF001,Prescription
T00477,2026-04-18,P037,2,0.45,0.9,STF001,Prescription
T00478,2026-04-18,P027,1,3.2,3.2,STF003,Prescription
T00479,2026-04-18,P011,2,3.2,6.4,STF004,Prescription
T00480,2026-04-18,P022,1,3.9,3.9,STF002,Prescription
T00481,2026-04-18,P019,1,7.8,7.8,STF002,Insurance
T00482,2026-04-18,P020,1,8.2,8.2,STF003,Walk-in
T00483,2026-04-18,P036,1,3.4,3.4,STF005,Prescription
T00484,2026-04-18,P024,1,4.6,4.6,STF002,Insurance
T00485,2026-04-18,P007,1,6.5,6.5,STF003,Walk-in
T00486,2026-04-18,P004,1,3.8,3.8,STF003,Walk-in
T00487,2026-04-18,P044,1,2.9,2.9,STF004,Walk-in
T00488,2026-04-18,P041,1,6.5,6.5,STF005,Walk-in
T00489,2026-04-18,P021,1,3.2,3.2,STF005,Walk-in
T00490,2026-04-18,P028,1,1.8,1.8,STF004,Walk-in
T00491,2026-04-18,P034,1,3.9,3.9,STF003,Prescription
T00492,2026-04-18,P043,1,2.1,2.1,STF003,Walk-in
T00493,2026-04-18,P028,1,1.8,1.8,STF001,Insurance
T00494,2026-04-18,P011,2,3.2,6.4,STF005,Prescription
T00495,2026-04-18,P045,1,7.8,7.8,STF005,Insurance
T00496,2026-04-18,P016,1,3.6,3.6,STF001,Prescription
T00497,2026-04-18,P027,1,3.2,3.2,STF004,Walk-in
T00498,2026-04-18,P016,1,3.6,3.6,STF005,Insurance
